,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,projectID,projectID
3679,Kramatorska CHP,Hard Coal,Steam turbine,CHP,UA,120,,0.0,0.0,0.0,0.0,,,,,48.7477,37.5723,[nan],"{'GPD': ['WRI1075856'], 'CARMA': ['CARMA54560']}"
,Sumska CHP,Hard Coal,Steam turbine,CHP,UA,40,,0.0,0.0,0.0,0.0,,,,,50.932,34.818,[nan],
,Bilotserkivska CHP,Natural Gas,Steam turbine,CHP,UA,120,,0.0,0.0,0.0,0.0,1971.0,,,,49.796,30.183,[nan],
,Drogobych CHP,Natural Gas,Steam turbine,CHP,UA,17,,0.0,0.0,0.0,0.0,1941.0,,,,49.35,23.49,[nan],
,Kalushska CHP 2,Natural Gas,Steam turbine,CHP,UA,100,,0.0,0.0,0.0,0.0,1967.0,,,,49.07,24.318,[nan],
,Kamyanets-podilsky,Natural Gas,Steam turbine,CHP,UA,14,,0.0,0.0,0.0,0.0,,,,,48.6967,26.5825,[nan],
,Kharkivska CHP-5,Natural Gas,Steam turbine,CHP,UA,485,,0.0,0.0,0.0,0.0,1979.0,,,,49.9719,36.107,[nan],"{'GEO': ['GEO43027'], 'GPD': ['WRI1005126'], 'CARMA': ['CARMA21972']}"
,Khersonska CHP,Natural Gas,Steam turbine,CHP,UA,80,,0.0,0.0,0.0,0.0,1957.0,1991.0,,,46.6746,32.6496,[nan],
,Kirovogradska CHP,Natural Gas,Steam turbine,CHP,UA,15,,0.0,0.0,0.0,0.0,1978.0,,,,48.516,32.3066,[nan],
,Kremenchutska CHP,Natural Gas,Steam turbine,CHP,UA,250,,0.0,0.0,0.0,0.0,1965.0,,,,49.170,33.447,[nan],
,Kyivska CHP 5,Natural Gas,Steam turbine,CHP,UA,725,,0.0,0.0,0.0,0.0,1971.0,2014.0,,,50.393,30.569,[nan],
,Kyivska CHP 6,Natural Gas,Steam turbine,CHP,UA,500,,0.0,0.0,0.0,0.0,1982.0,2016.0,,,50.531,30.662,[nan],
,Lvivska CHP 1,Natural Gas,Steam turbine,CHP,UA,60,,0.0,0.0,0.0,0.0,,,,,49.81329,24.02908,[nan],
,Mykolaivska CHP,Natural Gas,Steam turbine,CHP,UA,40,,0.0,0.0,0.0,0.0,,,,,46.94968,31.98705,[nan],
,n/a,Natural Gas,Steam turbine,CHP,UA,16,,0.0,0.0,0.0,0.0,,,,,,,,
,Novorozdilska CHP,Natural Gas,Steam turbine,CHP,UA,36,,0.0,0.0,0.0,0.0,,,,,49.45980,24.12248,[nan],
,Novoyavorivska CHP,Natural Gas,Steam turbine,CHP,UA,26,,0.0,0.0,0.0,0.0,,,,,49.93093,23.58108,[nan],
,Odeska CHP,Natural Gas,Steam turbine,CHP,UA,68,,0.0,0.0,0.0,0.0,,,,,46.5031,30.714,[nan],
,Okhtyrska CHP,Natural Gas,Steam turbine,CHP,UA,12,,0.0,0.0,0.0,0.0,,,,,50.31678,34.87610,[nan],
,Severodonetska CHP,Natural Gas,Steam turbine,CHP,UA,260,,0.0,0.0,0.0,0.0,,,,,48.937,38.453,[nan],
,Shostkynska CHP,Natural Gas,Steam turbine,CHP,UA,110,,0.0,0.0,0.0,0.0,,,,,51.882,33.46,[nan],
,Svitlovodska CHP,Natural Gas,Steam turbine,CHP,UA,2,,0.0,0.0,0.0,0.0,,,,,49.05,33.2413703,[nan],
,Vinnitsya CHP-1,Natural Gas,Steam turbine,CHP,UA,10,,0.0,0.0,0.0,0.0,,,,,49.6673,28.444,[nan],
,Vinnitsya co-gen,Natural Gas,Steam turbine,CHP,UA,10,,0.0,0.0,0.0,0.0,,,,,49.6673,28.444,[nan],
,Block CHP,Natural Gas,Steam turbine,CHP,UA,997,,0.0,0.0,0.0,0.0,,,,,,,,
2450,Cet chisinau,Natural Gas,,PP,MD,306.0,,0.0,0.0,0.0,0.0,,,,,47.027550000000000,28.8801,"[nan, nan]","{'GPD': ['WRI1002985', 'WRI1002984'], 'CARMA': ['CARMA8450', 'CARMA8451']}"
2676,Cet nord balti,Natural Gas,,PP,MD,24.0,,0.0,0.0,0.0,0.0,,,,,47.7492,27.8938,[nan],"{'GPD': ['WRI1002986'], 'CARMA': ['CARMA3071']}"
